era,book_id,chap_num,T00,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19
high gothic,3268,10,2.4666996057304878e-05,0.6657925512341519,2.4666996006039543e-05,2.46669958235935e-05,2.4666996121256045e-05,2.466699608076325e-05,2.4666996080373044e-05,2.4666996027482796e-05,2.4666995559956103e-05,2.4666995852985088e-05,2.4666996056148356e-05,0.2448754219738654,2.4666996108974192e-05,2.4666996090485936e-05,2.4666995559956103e-05,2.4666996151586224e-05,2.4666996147805618e-05,0.08891268786024248,2.4666996001287234e-05,2.4666996014161922e-05
high gothic,3268,11,8.833922406578164e-05,0.5641216743809385,8.833922468592931e-05,8.833922356933778e-05,8.833922421413272e-05,8.833922550774678e-05,8.833922442042422e-05,8.833922399338379e-05,8.833922261489555e-05,8.833922349124726e-05,8.83392240770135e-05,0.26389094357066867,8.833922433830279e-05,8.833922458558005e-05,8.833922261489555e-05,8.833922496343847e-05,8.833922477594503e-05,8.833922472759913e-05,0.17048561523780828,8.833922393879586e-05
high gothic,3268,12,1.697792897072134e-05,0.9242857757433485,1.6977929010448607e-05,1.6977928879271403e-05,1.697792906159094e-05,1.6977929068621613e-05,1.6977928975091703e-05,1.697792900818199e-05,1.6977928692707853e-05,1.697792896376752e-05,1.6977928982773435e-05,1.697792913238094e-05,1.697792901553206e-05,1.697792902192818e-05,1.6977928692707853e-05,0.07540862153501884,1.6977929014266232e-05,1.6977929056577754e-05,1.6977929063645163e-05,1.6977929022445233e-05
high gothic,3268,13,1.801152768756591e-05,0.7860111942835863,1.801152767865873e-05,1.8011527548696138e-05,1.801152774947381e-05,1.801152772981857e-05,1.8011527732113974e-05,1.8011527724231807e-05,1.801152737753414e-05,1.801152760770374e-05,1.8011527766839292e-05,1.801152784380925e-05,1.801152770724901e-05,1.8011527780128514e-05,1.801152737753414e-05,0.07457705728303016,1.8011527842171692e-05,0.13910555246275463,1.8011527766586927e-05,1.8011527708588003e-05
high gothic,5182,1,2.7968899135663787e-06,2.7968899182277247e-06,2.796889916152608e-06,2.7968899037169263e-06,2.796889922855065e-06,2.796889923299683e-06,2.7968899167594833e-06,2.7968899099212e-06,2.796889858479061e-06,2.7968899085819503e-06,2.796889917624734e-06,2.796889914286973e-06,2.7968899161096303e-06,2.796889920956389e-06,2.796889858479061e-06,0.9999468590917121,2.796889920364277e-06,2.7968899218118794e-06,2.796889907071387e-06,2.7968899197282817e-06
modern gothic,175,1,5.6116723877218905e-05,5.611672354119122e-05,5.611672345629889e-05,5.611672446187366e-05,5.6116723999575294e-05,5.611672422670132e-05,5.6116724148986865e-05,0.45733034951027346,5.6116722783422465e-05,0.22136010681495397,5.6116723605050366e-05,5.611672449915877e-05,0.32035555936953647,5.611672416485338e-05,5.6116722783422465e-05,5.6116724283548755e-05,5.611672360504564e-05,5.6116723973872134e-05,5.6116724012116965e-05,5.611672381381522e-05
modern gothic,175,2,5.279831193326936e-05,0.0476121932439695,5.279831175146571e-05,5.2798311280175964e-05,5.2798311826814314e-05,0.15343736194378288,5.2798311432069916e-05,0.5392916484439485,5.2798310454108674e-05,0.04826626814568802,5.279831180552839e-05,5.279831167095155e-05,5.2798311727933226e-05,0.0984357437424814,5.2798310454108674e-05,5.279831170347435e-05,5.2798311516957885e-05,0.11221760811963657,5.279831149255423e-05,5.2798311443898996e-05
modern gothic,175,3,6.983240362400423e-05,6.983240386551147e-05,6.983240372333453e-05,6.983240344831083e-05,6.983240361600069e-05,0.28797904775617184,6.98324035106159e-05,6.983240413820018e-05,6.98324022346757e-05,0.3574581539554718,6.983240315687925e-05,6.98324034917198e-05,0.3533756474297275,6.983240368739022e-05,6.98324022346757e-05,6.983240353367703e-05,6.983240369408886e-05,6.983240359995296e-05,6.983240367524517e-05,6.98324033945114e-05
modern gothic,175,4,4.325259608939505e-05,4.325259587463216e-05,4.325259586902393e-05,4.325259623369361e-05,4.325259620141792e-05,0.1300417896393555,4.3252595825319217e-05,4.3252596157716534e-05,4.325259515573024e-05,0.7789076208019503,4.325259576978567e-05,4.325259575235195e-05,4.325259591948883e-05,0.09031529542891835,4.325259515573024e-05,4.325259604519941e-05,4.325259583303382e-05,4.325259587715196e-05,4.3252595716394744e-05,4.3252596299727097e-05
modern gothic,175,5,2.9446408307405287e-05,0.014531404634853019,0.018203181589186605,2.9446408322000688e-05,0.058605315518826126,0.15228243897061527,2.9446408137398632e-05,0.5395369716939487,2.9446407538304606e-05,0.0022105643805113814,2.9446408291481986e-05,0.029071498342934467,2.9446408218980235e-05,0.044487219776627146,2.9446407538304606e-05,2.9446408278356018e-05,0.019270061079281465,0.12150687993236851,2.9446408167535008e-05,2.9446408047593567e-05
